product_id,product_name,brand,main_category,sub_category,activity,gender,color,material,closure,fit,price_inr,discount_pct,final_price_inr,rating,rating_count,popularity_score,cushioning,arch_support,breathability,durability,weight_g,heel_drop_mm,sole_type,surface,water_resistant,season,size_range,inventory_units,launch_month,trend_score,style_tag
SH0001,Under Armour Elite Cross Trainers Grey,Under Armour,Shoes,cross trainers,Training,Men,Grey,Mesh,Lace-Up,Regular,8945,0,8945.0,4.2,156,100,High,Low,Medium,Medium,774,10,TPU,Trail,No,All Season,6-10,105,8,60,everyday
SH0002,Red Tape Elite Canvas Shoes Red,Red Tape,Shoes,canvas shoes,Casual,Women,Red,Mesh,Velcro,Regular,3961,10,3564.9,4.0,145,100,Medium,Medium,Medium,Medium,330,12,EVA,All-Purpose,Yes,All Season,6-10,92,11,69,minimal
SH0003,Bata Move School Shoes Red,Bata,Shoes,school shoes,School,Boys,Red,Rubberized knit,Slip-On,Wide,1386,25,1039.5,4.0,48,95,Medium,Medium,Medium,Medium,735,10,PU,Trail,No,All Season,2-6,65,9,39,minimal
SH0004,Skechers Air Street Sneakers Pink,Skechers,Shoes,street sneakers,Lifestyle,Women,Pink,Leather,Lace-Up,Regular,5281,15,4488.85,4.2,36,77,Low,Low,Low,Medium,605,10,Foam,Trail,No,Monsoon,5-9,126,8,44,premium
SH0005,Red Tape Prime Slip-On Walkers Brown,Red Tape,Shoes,slip-on walkers,Walking,Unisex,Brown,PU,Buckle,Regular,2784,10,2505.6,4.1,65,100,Max,Low,Medium,Very High,654,8,PU,Trail,No,All Season,7-11,119,8,45,premium
SH0006,Fila Prime Race-Day Shoes Pink,Fila,Shoes,race-day shoes,Running,Unisex,Pink,PU,Velcro,Slim,2858,40,1714.8,4.3,25,59,Medium,Medium,Low,Medium,608,8,PU,Court,No,Summer,5-9,131,11,78,minimal
SH0007,Skechers Air Comfort Walkers Olive,Skechers,Shoes,comfort walkers,Walking,Girls,Olive,Rubberized knit,Elastic,Regular,5386,35,3500.9,4.1,35,71,Low,High,High,Very High,551,4,Rubber,Road,No,All Season,2-6,92,9,84,premium
SH0008,Liberty Flex School Shoes Grey,Liberty,Shoes,school shoes,School,Girls,Grey,Rubberized knit,Slip-On,Slim,1108,5,1052.6,4.3,75,90,Medium,Medium,Low,Very High,671,0,PU,Court,No,All Season,1-5,156,1,83,lightweight
SH0009,Puma Pro Trail Running Shoes Grey,Puma,Shoes,trail running shoes,Running,Men,Grey,Knit,Buckle,Regular,3549,10,3194.1,4.1,125,100,Low,High,Medium,High,465,10,TPU,Court,No,Summer,6-10,91,12,61,sporty
SH0010,Nike Air Basketball Shoes Grey,Nike,Shoes,basketball shoes,Basketball,Men,Grey,Synthetic,Slip-On,Regular,4026,5,3824.7,4.5,257,100,Low,Low,High,High,572,12,Foam,Indoor,No,All Season,6-9,180,4,71,rugged
SH0011,Puma Pro Training Shoes Black,Puma,Shoes,training shoes,Training,Men,Black,Rubberized knit,Velcro,Wide,5009,20,4007.2,4.7,97,100,High,Medium,Medium,Very High,596,6,PU,Court,No,All Season,6-10,5,9,79,fashion
SH0012,Nike Elite Street Sneakers Olive,Nike,Shoes,street sneakers,Lifestyle,Girls,Olive,Mesh,Elastic,Regular,5424,15,4610.4,4.2,24,79,Low,Medium,High,Medium,497,8,TPU,Indoor,Yes,Monsoon,2-6,141,10,91,lightweight
SH0013,Adidas Stride Lifestyle Sneakers Navy,Adidas,Shoes,lifestyle sneakers,Lifestyle,Men,Navy,Canvas,Velcro,Regular,4275,20,3420.0,4.0,188,100,High,High,Low,High,661,8,EVA,Trail,No,All Season,7-11,88,2,74,retro
SH0014,ASICS Max Tennis Shoes Pink,ASICS,Shoes,tennis shoes,Tennis,Unisex,Pink,Synthetic,Elastic,Regular,10108,15,8591.8,4.0,79,91,Medium,High,Low,Medium,681,8,EVA,Indoor,Yes,All Season,6-10,32,11,70,everyday
SH0015,Mochi Elite Oxfords Red,Mochi,Shoes,oxfords,Formal,Unisex,Red,Mesh,Slip-On,Slim,3504,5,3328.8,4.1,36,77,Medium,Low,High,High,803,10,Rubber,Indoor,No,All Season,6-10,99,6,50,retro
SH0016,Adidas Edge Retro Sneakers Black,Adidas,Shoes,retro sneakers,Lifestyle,Boys,Black,PU,Slip-On,Regular,6366,35,4137.9,4.9,112,100,Medium,Medium,Medium,Very High,556,6,Phylon,Road,No,Summer,3-7,115,3,30,retro
SH0017,Liberty Max Comfort Walkers Grey,Liberty,Shoes,comfort walkers,Walking,Boys,Grey,Knit,Lace-Up,Regular,2347,35,1525.55,5.0,86,100,Low,Medium,Medium,Very High,629,0,EVA,Trail,No,Summer,3-7,117,2,43,retro
SH0018,Skechers Pro Retro Sneakers White,Skechers,Shoes,retro sneakers,Lifestyle,Girls,White,PU,Velcro,Regular,6747,25,5060.25,4.5,52,100,Max,Low,Low,High,822,8,PU,Court,No,All Season,1-5,35,5,75,premium
SH0019,New Balance Prime Street Sneakers Maroon,New Balance,Shoes,street sneakers,Lifestyle,Unisex,Maroon,Suede,Slip-On,Regular,5288,15,4494.8,4.0,106,99,Low,Medium,Low,Medium,522,6,TPU,Road,No,Summer,6-10,26,5,66,premium
SH0020,Under Armour Air Race-Day Shoes Navy,Under Armour,Shoes,race-day shoes,Running,Unisex,Navy,Synthetic,Velcro,Regular,8996,20,7196.8,3.9,294,100,High,Medium,Low,Very High,435,8,Foam,Court,No,All Season,6-10,100,12,79,rugged
SH0021,New Balance Stride Street Sneakers Grey,New Balance,Shoes,street sneakers,Lifestyle,Women,Grey,Canvas,Slip-On,Wide,7663,35,4980.95,4.7,32,99,Low,Low,High,High,411,8,EVA,Road,No,All Season,4-8,135,7,79,everyday
SH0022,Mochi Pulse Derbies Maroon,Mochi,Shoes,derbies,Formal,Men,Maroon,Synthetic,Lace-Up,Regular,2443,30,1710.1,4.4,122,100,High,Low,Low,High,793,8,PU,All-Purpose,No,All Season,6-9,140,9,52,everyday
SH0023,ASICS Pulse Race-Day Shoes Olive,ASICS,Shoes,race-day shoes,Running,Men,Olive,Synthetic,Slip-On,Regular,8612,15,7320.2,3.9,367,100,Low,Medium,Low,High,474,10,TPU,Indoor,No,All Season,7-11,48,9,76,minimal
SH0024,Vans Max Canvas Shoes Black,Vans,Shoes,canvas shoes,Casual,Girls,Black,PU,Elastic,Regular,5645,30,3951.5,4.6,56,100,Low,Medium,Medium,Very High,787,8,EVA,Indoor,No,All Season,1-5,144,4,79,lightweight
SH0025,Skechers Stride Street Sneakers Maroon,Skechers,Shoes,street sneakers,Lifestyle,Boys,Maroon,Mesh,Buckle,Wide,5251,20,4200.8,3.9,53,72,Max,Medium,High,High,593,10,EVA,Indoor,No,All Season,2-6,115,6,71,retro
SH0026,Red Tape Stride Derbies Brown,Red Tape,Shoes,derbies,Formal,Unisex,Brown,Knit,Lace-Up,Regular,4073,0,4073.0,4.2,275,100,Medium,Low,High,High,610,12,Rubber,Road,Yes,Winter,7-11,283,3,76,retro
SH0027,Adidas Flex Turf Shoes Blue,Adidas,Shoes,turf shoes,Football,Unisex,Blue,Mesh,Elastic,Wide,3982,25,2986.5,4.4,85,100,Medium,Medium,Medium,High,548,12,Foam,Indoor,No,Monsoon,7-11,148,4,63,premium
SH0028,Puma Move Retro Sneakers Beige,Puma,Shoes,retro sneakers,Lifestyle,Boys,Beige,PU,Elastic,Slim,2550,30,1785.0,4.0,181,100,Low,Medium,Low,High,606,4,PU,Road,No,Summer,1-5,45,8,68,fashion
SH0029,Red Tape Lite Slip-On Walkers Olive,Red Tape,Shoes,slip-on walkers,Walking,Unisex,Olive,PU,Buckle,Regular,2536,15,2155.6,4.3,103,90,High,Medium,High,Very High,680,8,EVA,Road,Yes,Monsoon,5-9,141,8,75,everyday
SH0030,Skechers Move Trail Running Shoes Beige,Skechers,Shoes,trail running shoes,Running,Men,Beige,Suede,Velcro,Regular,7320,20,5856.0,3.7,51,94,Medium,Low,Low,High,998,8,EVA,Trail,No,All Season,8-12,150,7,74,minimal
SH0031,ASICS Elite Tennis Shoes Maroon,ASICS,Shoes,tennis shoes,Tennis,Women,Maroon,Synthetic,Velcro,Slim,9263,30,6484.1,4.6,193,100,Low,Low,Low,Medium,467,6,TPU,All-Purpose,Yes,All Season,6-10,101,12,78,retro
SH0032,Clarks Max Derbies Navy,Clarks,Shoes,derbies,Formal,Men,Navy,Leather,Buckle,Regular,7626,35,4956.9,4.0,105,100,Low,High,Medium,Very High,589,6,EVA,All-Purpose,No,All Season,6-9,7,1,77,premium
SH0033,Adidas Max Trail Running Shoes Beige,Adidas,Shoes,trail running shoes,Running,Women,Beige,Canvas,Lace-Up,Regular,4975,25,3731.25,4.6,104,97,High,High,Low,High,353,6,TPU,All-Purpose,No,All Season,4-7,77,8,77,lightweight
SH0034,Reebok Pulse Walking Shoes Maroon,Reebok,Shoes,walking shoes,Walking,Unisex,Maroon,Mesh,Slip-On,Regular,4419,25,3314.25,4.2,63,100,Medium,Low,Medium,High,572,6,Phylon,Road,No,All Season,5-9,158,12,28,retro
SH0035,Liberty Prime Formal Loafers Grey,Liberty,Shoes,formal loafers,Formal,Unisex,Grey,Synthetic,Buckle,Regular,1936,35,1258.4,4.5,57,98,Low,Low,Low,Medium,621,4,Phylon,Indoor,No,Summer,6-10,150,5,80,everyday
SH0036,Nike Elite Trail Running Shoes Beige,Nike,Shoes,trail running shoes,Running,Unisex,Beige,Knit,Lace-Up,Regular,5479,25,4109.25,4.0,62,100,High,High,Medium,Medium,698,8,Foam,Indoor,No,Summer,6-10,144,3,42,everyday
SH0037,Hush Puppies Pro Casual Loafers Blue,Hush Puppies,Shoes,casual loafers,Casual,Women,Blue,Canvas,Slip-On,Regular,7177,15,6100.45,4.6,34,85,Medium,Low,High,Very High,613,6,TPU,Court,No,All Season,4-7,196,9,52,fashion
SH0038,Skechers Flex Comfort Walkers Tan,Skechers,Shoes,comfort walkers,Walking,Women,Tan,Canvas,Lace-Up,Regular,6721,25,5040.75,3.9,95,38,Medium,High,Medium,Very High,340,10,Rubber,Trail,No,Winter,4-8,58,7,60,sporty
SH0039,ASICS Lite Race-Day Shoes Tan,ASICS,Shoes,race-day shoes,Running,Boys,Tan,Rubberized knit,Velcro,Regular,11458,35,7447.7,3.7,73,94,Medium,High,High,High,594,10,Rubber,All-Purpose,No,All Season,3-7,206,7,39,retro
SH0040,Puma Lite Trail Running Shoes Beige,Puma,Shoes,trail running shoes,Running,Unisex,Beige,Synthetic,Buckle,Wide,4653,35,3024.45,3.9,137,100,Medium,Medium,Low,Very High,533,8,Phylon,Court,No,Monsoon,7-11,83,1,66,retro
